Year,Title,Director,Actor,Genre,Age Certification,Imdb
2002,Neethone Vuntanu,T. Prabhakar,Upendra,Action,U,2.5
2002,Raghava,Y. Nageswara Rao,Suresh,comedy,U/A,7.3
2002,Kalusukovalani,Raghu Raj,Uday Kiran,Action / Drama,S,4.3
2002,Kondaveeti Simhasanam,Dasari Narayana Rao,Mohan Babu,Romance / Drama,U,8.1
2002,Nenu Ninnu Premistunnanu,G. Haribabu,Prasanna,Comedy,U/A,8.7
2002,Chandravamsam,J. K. Bharavi,Krishna Ghattamaneni,Action,S,3
2002,Action No. 1,Sagar,Ram,Romance,U,7.3
2002,Ramana,Siva Nageswara Rao,Rajendra Babu,Romance,U/A,4.3
2002,Lagna Patrika,Subburaju,Babloo Prithviraj,Romance,S,8.1
2003,Oka Raju Oka Rani,Yogi M,Ravi Teja,Action,U,4.4
2003,Donga Ramudu & Party,Vamsi,Srikanth,Drama,U/A,8.1
2003,Simhadri,S. S. Rajamouli,Jr. NTR,Romance,S,8.7
2003,Vasantam,Vikraman,Daggubati Venkatesh,Drama,U,4
2003,Kalyana Ramudu,G. Ramprasad,Venu Thottempudi,Drama,U/A,7.4
2003,Praanam,Malli,Allari Naresh,Action / Drama,S,4.4
2003,Shambhu,R. Suresh Verma,Aryan Rajesh,Romance,U,8.1
2003,Dhum,Raju Voopati,Jagapati Babu,Action,U/A,8.8
2003,City,Ambati Subhash,Mukesh Udeshi,Adult drama,S,1
2003,Sambaram,K. Dasaradh,Nitin,Action,U,7.4
2003,Dongodu,Bheemineni Srinivas,Ravi Teja,Action,U/A,4.4
2003,Simhachalam,Indra Kumar,Srihari,Adult romance,S,8.1
2003,Neeku Nenu Naaku Nuvvu,Raja Shekar,Uday Kiran,Drama / Romance,U,8.8
2003,Anaganaga O Kurraadu,L P Ramarao,Rohit,Drama,U/A,1.5
2003,Charminar,Sagar,Venkat,Romance / Drama,S,7.4
2003,Seetayya,YVS Chowdhary,Nandamuri Harikrishna,Action,U,4.4
2003,Aadanthe Ado Type,E. V. V. Satyanarayana,Sivaji,Action,U/A,8.1
2003,Oka Radha Iddaru Krishnula Pelli,G. Nageswara Reddy,Srikanth,Romance,S,8.8
2003,Janaki Weds Sriram,Anji,Rohit,Romance,U,2
2003,Pellamtho Panenti,S. V. Krishna Reddy,Venu Thottempudi,Family Drama,U/A,7.4
2003,Okato Number Kurraadu,A. Kodandarami Reddy,Taraka Ratna,Action,S,4.4
2003,Tagore,V. V. Vinayak,Chiranjeevi,Action,U,8.1
2003,Vishnu,Shaji Kailas,Vishnu Manchu,Romance,U/A,8.8
2003,Ela Cheppanu,Ramana,Tarun,Adult romance,S,2.5
2003,Toli Choopulone,Kasi Viswanath,Kalyan Ram,Romance,U,7.4
2003,Okariki Okaru,Rasool,Srikanth,Comedy,U/A,4.4
2003,Ori Nee Prema Bangaram Kaanu,AVS,Rajesh Krishnan,Comedy / Romance,S,8.1
2003,Sivamani,Puri Jagannadh,Nagarjuna,Drama,U,8.8
2003,Veede,Ravi Raja Pinisetty,Ravi Teja,Biopic,U/A,3
2004,Kaasi,Lakshmi Srinivas,J. D. Chakravarthy,Horror / Thriller,U,8.8
